task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
representation,ae_alt_width,alt_width,0.09031726454395253,2,2,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_278_d10_w227/checkpoint_best.pt,cand_278_d10_w227
representation,stl_from_ae_alt_width,stl_refit,0.14570796492767568,31,36,0.14881777614485886,0.9431851431128552,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_alt_width/cand_000_d10_w227/checkpoint_best.pt,cand_000_d10_w227
representation,ae_alt_depth,alt_depth,0.08898697692691039,7,7,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_626_d6_w105/checkpoint_best.pt,cand_626_d6_w105
representation,stl_from_ae_alt_depth,stl_refit,0.18634911513076596,60,65,0.18737022728263913,0.92750555067899,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_alt_depth/cand_000_d6_w105/checkpoint_best.pt,cand_000_d6_w105
representation,ae_alt_depth,alt_depth,0.08898697692691039,7,7,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_626_d6_w105/checkpoint_best.pt,cand_626_d6_w105
representation,stl_from_ae_alt_depth,stl_refit,0.18634911513076596,60,65,0.18737022728263913,0.92750555067899,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_alt_depth/cand_000_d6_w105/checkpoint_best.pt,cand_000_d6_w105
representation,ae_alt_width,alt_width,0.09031726454395253,2,2,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_278_d10_w227/checkpoint_best.pt,cand_278_d10_w227
representation,stl_from_ae_alt_width,stl_refit,0.14570796492767568,31,36,0.14881777614485886,0.9431851431128552,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_alt_width/cand_000_d10_w227/checkpoint_best.pt,cand_000_d10_w227
representation,ae_width_to_depth,width_to_depth,0.08618749312472872,6,6,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_to_depth/cand_348_d4_w161/checkpoint_best.pt,cand_348_d4_w161
representation,stl_from_ae_width_to_depth,stl_refit,0.2009544138106579,62,67,0.20391259318541846,0.9196227259427548,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_width_to_depth/cand_000_d4_w161/checkpoint_best.pt,cand_000_d4_w161
