task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
prediction,1,1,1,[1],13,1.113943,True
prediction,1,2,2,[2],25,1.39794,True
prediction,1,3,3,[3],37,1.568202,True
prediction,1,4,4,[4],49,1.690196,True
prediction,1,5,5,[5],61,1.78533,True
prediction,1,6,6,[6],73,1.863323,True
prediction,1,7,7,[7],85,1.929419,True
prediction,1,8,8,[8],97,1.986772,True
prediction,1,9,17,[17],205,2.311754,True
prediction,1,10,25,[25],301,2.478566,True
prediction,1,11,33,[33],397,2.598791,True
prediction,1,12,42,[42],505,2.703291,True
prediction,1,13,50,[50],601,2.778874,True
prediction,1,14,58,[58],697,2.843233,True
prediction,1,15,66,[66],793,2.899273,True
prediction,1,16,75,[75],901,2.954725,True
prediction,1,17,83,[83],997,2.998695,True
prediction,1,18,167,[167],2005,3.302114,True
prediction,1,19,250,[250],3001,3.477266,True
prediction,1,20,333,[333],3997,3.601734,True
prediction,1,21,417,[417],5005,3.699404,True
prediction,1,22,500,[500],6001,3.778224,True
prediction,1,23,583,[583],6997,3.844912,True
prediction,1,24,666,[666],7993,3.90271,True
prediction,1,25,750,[750],9001,3.954291,True
prediction,1,26,833,[833],9997,3.99987,True
prediction,1,27,1667,[1667],20005,4.301139,True
prediction,1,28,2500,[2500],30001,4.477136,True
prediction,1,29,3333,[3333],39997,4.602027,True
prediction,1,30,4167,[4167],50005,4.699013,True
prediction,1,31,5000,[5000],60001,4.778158,True
prediction,1,32,5833,[5833],69997,4.845079,True
prediction,1,33,6666,[6666],79993,4.903052,True
prediction,1,34,7500,[7500],90001,4.954247,True
prediction,1,35,8333,[8333],99997,4.999987,True
prediction,1,36,11582,[11582],138985,5.142968,True
prediction,1,37,14830,[14830],177961,5.250325,True
prediction,1,38,18078,[18078],216937,5.336334,True
prediction,1,39,21326,[21326],255913,5.408092,True
prediction,1,40,24575,[24575],294901,5.469676,True
prediction,1,41,27823,[27823],333877,5.523587,True
prediction,1,42,31071,[31071],372853,5.571538,True
prediction,1,43,32769,[32769],393229,5.594646,True
prediction,1,44,37568,[37568],450817,5.654,True
prediction,2,1,1,"[1, 1]",17,1.230449,True
prediction,2,2,2,"[2, 2]",35,1.544068,True
prediction,2,3,3,"[3, 3]",55,1.740363,True
prediction,2,4,4,"[4, 4]",77,1.886491,True
prediction,2,5,5,"[5, 5]",101,2.004321,True
prediction,2,6,8,"[8, 8]",185,2.267172,True
prediction,2,7,11,"[11, 11]",287,2.457882,True
prediction,2,8,14,"[14, 14]",407,2.609594,True
prediction,2,9,16,"[16, 16]",497,2.696356,True
prediction,2,10,18,"[18, 18]",595,2.774517,True
prediction,2,11,20,"[20, 20]",701,2.845718,True
prediction,2,12,22,"[22, 22]",815,2.911158,True
prediction,2,13,23,"[23, 23]",875,2.942008,True
prediction,2,14,25,"[25, 25]",1001,3.000434,True
prediction,2,15,38,"[38, 38]",2015,3.304275,True
prediction,2,16,48,"[48, 48]",3025,3.480725,True
prediction,2,17,56,"[56, 56]",3977,3.599556,True
prediction,2,18,64,"[64, 64]",5057,3.703893,True
prediction,2,19,70,"[70, 70]",5951,3.77459,True
prediction,2,20,76,"[76, 76]",6917,3.839918,True
prediction,2,21,82,"[82, 82]",7955,3.90064,True
prediction,2,22,88,"[88, 88]",9065,3.957368,True
prediction,2,23,93,"[93, 93]",10045,4.00195,True
prediction,2,24,134,"[134, 134]",19967,4.300313,True
prediction,2,25,166,"[166, 166]",30047,4.477801,True
prediction,2,26,193,"[193, 193]",40145,4.603631,True
prediction,2,27,216,"[216, 216]",49897,4.698074,True
prediction,2,28,238,"[238, 238]",60215,4.779705,True
prediction,2,29,257,"[257, 257]",69905,4.844508,True
prediction,2,30,275,"[275, 275]",79751,4.901736,True
prediction,2,31,293,"[293, 293]",90245,4.955423,True
prediction,2,32,309,"[309, 309]",100117,5.000508,True
prediction,2,33,440,"[440, 440]",200201,5.301466,True
prediction,2,34,540,"[540, 540]",299701,5.476688,True
prediction,2,35,625,"[625, 625]",400001,5.602061,True
prediction,2,36,700,"[700, 700]",500501,5.699405,True
prediction,2,37,767,"[767, 767]",599795,5.778003,True
prediction,2,38,829,"[829, 829]",699677,5.844898,True
prediction,2,39,887,"[887, 887]",800075,5.903131,True
prediction,2,40,941,"[941, 941]",899597,5.954048,True
prediction,2,41,993,"[993, 993]",1000945,6.00041,True
prediction,2,42,1407,"[1407, 1407]",2000755,6.301194,True
prediction,2,43,1725,"[1725, 1725]",3001501,6.477338,True
prediction,2,44,1993,"[1993, 1993]",4001945,6.602271,True
prediction,2,45,2229,"[2229, 2229]",5001877,6.699133,True
prediction,2,46,2442,"[2442, 2442]",5999995,6.778151,True
prediction,2,47,2638,"[2638, 2638]",6998615,6.845012,True
prediction,2,48,2821,"[2821, 2821]",8000357,6.903109,True
prediction,2,49,2993,"[2993, 2993]",9002945,6.954385,True
prediction,2,50,3155,"[3155, 3155]",10001351,7.000059,True
prediction,2,51,4465,"[4465, 4465]",20003201,7.301099,True
prediction,2,52,5470,"[5470, 5470]",30002951,7.477164,True
prediction,2,53,6317,"[6317, 6317]",39999245,7.602052,True
prediction,2,54,7064,"[7064, 7064]",50006057,7.699023,True
prediction,2,55,7738,"[7738, 7738]",59992715,7.778099,True
prediction,2,56,8359,"[8359, 8359]",69998267,7.845087,True
prediction,2,57,8937,"[8937, 8937]",80004025,7.903112,True
prediction,2,58,9479,"[9479, 9479]",89993627,7.954212,True
prediction,2,59,9993,"[9993, 9993]",100009945,8.000043,True
prediction,2,60,10554,"[10554, 10554]",111545227,8.047451,True
prediction,2,61,11087,"[11087, 11087]",123087875,8.090215,True
prediction,2,62,11596,"[11596, 11596]",134641157,8.129178,True
prediction,2,63,12083,"[12083, 12083]",146180135,8.164888,True
prediction,2,64,12551,"[12551, 12551]",157715867,8.197875,True
prediction,2,65,13003,"[13003, 13003]",169273055,8.228588,True
